prefill,decode,conc,isl,osl,date,endpoint_type,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,source_file
1,1,64,128,2048,20250915-055823,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,51.35597672199992,500,63996,356891,9.735965157601793,,6949.3566821233235,8195.482334575092,178.11883348000356,159.4633115000761,70.2588750688689,388.6068479600362,8.793380845348455,8.855591099995765,1.0291899247698546,10.427442426990183,8.018177634059233,7.930771999781427,1.0097494792703008,12.178816700361475,1p1d_conc64_in128_out2048_20250915_055724.json
1,1,64,2048,128,20250917-064812,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,6.989152768999702,500,1023101,24834,71.53942924494991,,3553.2203717381726,149937.3435716132,408.9251173660077,282.0814080002947,324.1284282514257,1365.5319860897725,8.283318761054462,8.358941425196075,1.6552261245400557,11.757772609098312,8.171706085641746,6.166917499967894,11.18169202566568,54.1835274502364,1p1d_conc64_in2048_out128_20250917_064754.json
1,1,64,2048,2048,20250915-055517,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,36.69298145399989,500,1023101,234671,13.626584163699654,,6395.528264559122,34278.27203348968,329.4275355060108,243.74607549998473,270.4721673180562,1283.256761379671,8.852094690293036,9.2686302279958,1.9114799089042571,12.401993924996079,7.815576874719805,7.35142099983932,3.4471388884621814,20.498141300322438,1p1d_conc64_in2048_out2048_20250915_055422.json
1,1,64,2048,32784,20250915-071504,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,1594.939652475,500,1023101,3637918,0.31349148491236556,,2280.9126316188463,2922.379535029498,517.8036174859972,383.52781349976794,396.8205187931871,1797.1255090396062,20.47797740255011,12.436814730340588,15.159396220055749,61.47866999994221,24.685981253778614,22.83758300018235,15.480449653134869,62.34680837063024,1p1d_conc64_in2048_out32784_20250915_064816.json
1,1,64,32784,2048,20250915-061122,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,290.1471545640002,500,16392000,759561,1.7232634962467324,,2617.8474889453287,59113.317949898206,6130.642772572012,5813.992257000109,6359.53109879066,27569.81791161997,19.918630051890936,20.451326774059595,4.93536193339169,30.016097581889674,19.56133544007135,15.539902999989863,19.478232249892017,117.20444900010993,1p1d_conc64_in32784_out2048_20250915_060526.json
1,3,128,128,2048,20250914-020903,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,39.1642699719996,500,63996,340981,12.766738671689113,,8706.430638022452,10340.471054089283,386.1210574500001,227.45685300014884,318.34375236070406,1001.9392820099893,10.695648060772799,10.74494812354744,1.4974931982089363,13.610708657261469,9.891000222520555,10.14412199947401,1.5606137383364496,13.960864999717161,1p3d_conc128_in128_out2048_20250914_020816.json
1,3,128,2048,128,20250923-033822,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,22.91952720100005,500,1023101,33584,21.815458740273815,,1465.3007326667116,46104.13603793247,3961.204592005998,3463.880953499938,1093.4929589341723,7267.773878629982,7.191413602750026,7.147249913385427,3.1953109291895747,11.249882894959965,6.8293534749426215,6.942721999962487,7.509721071024759,14.434938489947616,1p3d_conc128_in2048_out128_20250923_033738.json
1,3,128,2048,2048,20250914-014738,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,41.728413585,500,1023101,366152,11.982243201781667,,8774.644625637522,33292.73462960957,498.67256990200167,291.7906595000659,380.6837031112028,1134.588049439917,11.352531550038597,11.042412069614087,4.579029365226806,45.24198662179638,9.829743291971615,10.013807999939672,6.495603774199928,17.198488740045832,1p3d_conc128_in2048_out2048_20250914_014638.json
1,3,128,2048,32784,20250914-025611,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,1039.8285223329995,500,1023101,5977734,0.4808485142128826,,5748.769024519663,6732.682215999092,1292.8275132899726,892.600631500045,1250.2298941031697,3907.1352625605596,18.161551861165066,12.938773327290287,11.53247245435755,50.98674864178065,17.787664376722752,13.269013999888557,11.913608145280087,56.63690234026035,1p3d_conc128_in2048_out32784_20250914_023626.json
1,3,128,32784,2048,20250914-022013,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,128,367.2238828769996,500,16392000,611669,1.3615672163879202,,1665.6569153615656,46303.276537423146,73013.680708496,80612.78485950016,22012.101833125274,90626.7128908798,7.609828316289201,6.881486257362003,6.674206159553789,12.139626809088936,6.833225278166926,6.2848549996488146,4.653246966889066,10.36333868036308,1p3d_conc128_in32784_out2048_20250914_021257.json
