GPU,backend,dataset_name,request_rate,max_concurrency,sharegpt_output_len,random_input_len,random_output_len,random_range_ratio,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,request_throughput,input_throughput,output_throughput,mean_e2e_latency_ms,median_e2e_latency_ms,std_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,concurrency,,
h200,trt-llm,random,,8,,3200,800,1,2926.878109,500,1600000,400000,398408,0.170830483,546.6575445,136.6643861,46466.08171,46474.00887,136.6540957,46663.24319,1782.351533,1855.813048,226.8984268,2066.320602,55.92456844,55.85705891,0.305930129,56.78874924,59.06248551,55.785723,17.2830315,109.7333452,112.5012396,,
h200,trt-llm,random,,16,,3200,800,1,1556.792678,500,1600000,400000,398508,0.321173145,1027.754063,256.9385157,48735.20241,48754.99056,323.7998204,49095.64898,2750.928874,2739.214037,586.4774219,3870.373283,57.55228227,57.57998727,0.716621612,59.53329623,60.90404216,56.057936,36.12958151,111.5012774,114.0601021,,
h200,trt-llm,random,,32,,3200,800,1,886.2449776,500,1600000,400000,398315,0.564178091,1805.369893,451.3424732,55607.53513,55714.42879,1510.486694,60678.30224,3306.306837,3470.01382,955.1441682,7588.532894,65.45835832,65.50804512,1.765679658,68.19656905,69.41104568,60.5747615,77.00736962,118.1440923,127.2603535,,
h200,trt-llm,random,,64,,3200,800,1,552.5646811,500,1600000,400000,398336,0.904871442,2895.588616,723.8971539,69395.82473,69551.93015,3871.29525,81428.87771,4158.667155,3561.952946,2482.45068,15019.77061,81.6485076,82.62508863,3.594510728,85.33339644,86.41488741,68.975317,126.5787091,135.8774175,1172.60723,,
h200,trt-llm,random,,128,,3200,800,1,478.9273625,500,1600000,400000,398369,1.043999652,3340.798888,835.199722,111736.9897,93611.36326,30257.0454,176733.3865,31645.64042,10769.67484,30925.65455,93767.49344,100.239486,103.6412433,9.922089078,105.0063022,105.9915309,80.095013,163.6049757,159.6216908,1192.064363,,
mi300x,sglang,generated-shared-prefix,,128,,1024,1024,0,396.8628054,500,1637687,400000,399676,1.259881231,4126.582229,1007.904985,99244.36521,99537.69668,1383.966196,101197.2053,14135.67123,15166.22337,6831.614981,25258.233,106.5190162,105.7103347,8.380038719,121.9596837,106.5347445,95.75362201,382.7515178,103.299152,125.0361131,,
mi300x,sglang,generated-shared-prefix,,64,,1024,1024,0,494.0797512,500,1637687,400000,399521,1.011982375,3314.620759,809.5858999,61824.12338,61851.78889,1747.413408,65456.7514,7480.515322,7370.692029,3408.686071,14670.47837,68.01452823,67.95756017,4.224660786,77.23020892,68.02388809,62.78409704,183.7029163,68.41080789,62.56492321,,
mi300x,sglang,generated-shared-prefix,,32,,1024,1024,0,708.399906,500,1637687,400000,399851,0.705816017,2311.81143,564.6528135,44353.23502,44100.2464,1529.333138,49216.12609,4408.33855,4733.608534,1843.342232,11771.18243,49.99361261,49.73523375,2.304310499,56.53066989,50.00149228,47.81992198,85.62495252,52.92702518,31.30522368,,
h200,vllm,generated-shared-prefix,,128,,1024,1024,0,317.0169346,500,1636038,400000,399685,1.57720281,5160.727461,1261.762248,79274.48988,75308.27846,12701.6833,108250.5993,6284.1519,987.880832,9782.923794,32178.69499,91.35211261,93.16817725,6.174726,101.4271087,97.39725202,75.70029399,63.48904846,292.3292469,125.0319482,,
h200,vllm,generated-shared-prefix,,64,,1024,1024,0,412.511733,500,1636216,400000,399756,1.212086736,3966.471421,969.6693887,51726.91845,50471.00889,5028.099835,67648.32129,1987.666219,760.8174775,3483.351097,14690.35506,62.25188014,62.2915295,3.020049992,66.58836216,67.35305413,54.07753802,46.57626631,260.1256692,62.69751174,,
h200,vllm,generated-shared-prefix,,32,,1024,1024,0,628.6156306,500,1636216,400000,399748,0.795398612,2602.887871,636.3188896,39445.21964,39279.97534,1784.675492,46283.60485,1066.451256,641.5203365,1538.269223,7940.727051,48.03350236,48.17857929,1.349479856,49.64257581,51.77841505,43.98820599,34.25371932,218.8443188,31.37467295,,
h200,sglang,generated-shared-prefix,,128,,1024,1024,0,397.6008822,500,1637962,400000,399530,1.257542481,4119.613595,1006.033985,99693.38183,97520.40761,14256.24961,122933.4779,25704.99685,23474.94284,14168.88926,60057.59915,92.60123276,89.89527414,14.14688341,138.7151576,92.61998859,77.305732,564.6107934,93.18467074,125.3686628,,
h200,sglang,generated-shared-prefix,,64,,1024,1024,0,531.4757732,500,1637962,400000,399838,0.940776655,3081.912822,752.6213239,66520.97384,64760.5268,6271.025464,77814.14859,13615.82779,11954.94269,5347.821012,28168.7825,66.21420031,63.56225478,6.15655332,86.39287182,66.22760123,62.25813,192.9953615,70.98715192,62.58137924,,
h200,sglang,generated-shared-prefix,,32,,1024,1024,0,835.782074,500,1636513,400000,399846,0.598242072,1958.061857,478.5936579,52363.95506,50522.96743,4255.599885,66172.82722,9228.62156,8418.714357,4346.072801,24235.58304,53.98665019,53.12249493,2.803542704,67.1792045,53.99716352,52.59806701,81.69648519,57.52593095,31.32632099,,
h200,vllm,random,,128,,3200,1600,1,1024.547403,500,1600000,800000,797217,0.488020367,1561.665176,780.8325879,234230.2861,236599.3932,48727.74122,343232.7353,116121.7992,132635.0622,46171.12841,220851.8526,73.86396926,64.71287418,20.97252326,133.6665918,74.10367329,63.33459198,906.246798,78.84659169,114.3091503,,
h200,vllm,random,,128,,3200,3200,1,2139.667426,500,1600000,1600000,1594831,0.233681176,747.7797625,747.7797625,493471.0053,502294.7003,118325.6937,641098.1522,250207.2416,226417.5894,123063.9054,437509.5252,76.04368982,62.32002822,22.16567203,125.2104357,76.28462089,59.86297803,1435.412097,71.13944474,115.3148847,,
h200,vllm,random,,128,,3200,6400,1,8490.245468,500,1600000,3200000,3188347,0.058891112,188.4515596,376.9031192,1911459.824,2069370.717,528862.6489,2440609.79,1059605.396,1272942.507,465160.3071,1576453.914,133.1230548,128.1127054,39.50476648,206.8395314,133.5751684,95.26754601,4188.330575,160.37414,112.5679953,,
mi300x,sglang,random,,128,,3200,3200,1,1670.720756,500,1600000,1600000,1593974,0.299272035,957.6705109,957.6705109,417798.7312,419817.7307,3614.453538,421760.4036,27824.34941,28030.49635,15422.56158,53525.08572,121.9050897,121.6282411,4.874570902,130.8002523,121.9060028,114.2866785,512.5260409,129.4392996,125.0354764,,
mi300x,sglang,random,,128,,3200,1600,1,898.4991581,500,1600000,800000,796926,0.556483549,1780.747356,890.373678,224710.723,225975.0548,2437.436071,226703.7705,27706.32235,28038.93607,15399.88136,53367.81786,123.2047534,123.1364131,9.656808558,140.2262186,123.2065998,107.9977709,724.2797393,118.0385509,125.0478206,,
mi300x,sglang,random,,128,,3200,6400,1,3720.564894,499,1596800,3193600,3180385,0.134119418,429.1821392,858.3642784,916742.3466,924543.6743,50271.53989,1079247.677,35202.17118,31560.68356,25038.09285,78367.13192,137.7621777,135.8402317,8.55948345,166.1735182,137.7598472,129.249581,817.1799868,151.0479055,122.9529504,,
mi300x,vllm,random,,128,,3200,1600,1,745.7500988,500,1600000,800000,786601,0.670465885,2145.490832,1072.745416,186545.7201,188100.7518,2870.087884,188527.6407,22502.75001,23534.6432,10827.6003,39750.17572,102.5909757,102.4878957,6.871677051,115.9670437,103.9756885,92.36766648,488.2236965,186.6283293,125.0725413,,
mi300x,vllm,random,,128,,3200,3200,1,1407.713437,500,1600000,1600000,1546182,0.355185926,1136.594962,1136.594962,352060.0463,353760.3179,3637.377419,355773.7174,22143.35855,23030.922,10839.85197,39245.63146,103.1311934,102.9223302,3.505086637,109.798831,106.0150347,97.73607191,352.9415393,206.2199984,125.0467734,,
h200,sglang,random,,128,,3200,1600,1,783.4638658,500,1600000,800000,797336,0.638191526,2042.212883,1021.106441,195958.8809,198193.6673,3980.065786,200731.4652,35417.987,37186.87752,15483.34747,59381.28675,100.4008092,98.33388851,9.568305106,120.6043181,100.4023038,87.18950202,626.2773972,111.0745483,125.0592972,,
h200,sglang,random,,128,,3200,3200,1,1367.739974,500,1600000,1600000,1593286,0.365566562,1169.812998,1169.812998,341906.7027,340605.9301,2771.197781,347067.763,32593.70738,34938.50748,14677.64234,55078.73388,96.69052681,95.9458293,4.625104601,106.7315329,96.69124586,89.2291925,422.0409578,124.3399709,124.9896578,,
mi300x,vllm,random,,128,,3200,6400,1,3373.352787,500,1600000,3200000,3063910,0.148220489,474.3055651,948.6111303,847045.5152,871167.1355,41074.84295,939884.0017,28339.55226,29582.78502,12476.64364,47505.04163,127.9427978,128.8261925,6.399697303,145.7146884,132.4758156,116.147529,386.8551935,288.425223,125.5495006,,
h200,sglang,random,,128,,3200,6400,1,2674.295252,500,1600000,3200000,3187394,0.186965145,598.2884646,1196.576929,668494.7173,668204.982,1020.704712,670624.5472,31927.771,34419.52427,14342.96912,52348.60787,99.47912898,99.16360618,2.24319678,104.0157347,99.47949943,94.82275447,290.882449,142.7457476,124.9852119,,
h200,trt-llm,random,,128,,3200,1600,1,990.3194689,500,1600000,800000,797014,0.50488758,1615.640256,807.8201279,227096.6017,244025.6287,65104.60112,305577.3995,84655.11882,142347.0436,66106.84087,159721.0866,89.0816028,90.9582791,6.495979591,91.86775022,94.40770044,81.5007435,107.2928031,156.2869104,260.5527738,,
h200,trt-llm,random,,128,,3200,3200,1,2258.156354,500,1600000,1600000,1594822,0.221419566,708.5426115,708.5426115,514512.548,511983.9558,124009.758,765501.1635,264343.5858,259533.7651,125125.3901,513012.5162,78.20223889,78.87773218,2.73266854,79.45553915,83.32716419,75.6499,208.7636751,138.9004195,168.5673283,,
h200,trt-llm,random,,128,,3200,6400,1,6811.496326,500,1600000,3200000,3189603,0.07340531,234.8969923,469.7939846,1568629.276,1579475.148,406457.2957,2103924.416,1046939.123,1056385.41,407314.2746,1581565.624,81.526825,81.7804464,0.953355545,82.17252164,86.38634934,81.633709,42.21492614,131.5538243,192.0653968,,
